step 49, layer 0, module attn: 0
step 49, layer 0, module mlp: 0
step 49, layer 1, module attn: 0
step 49, layer 1, module mlp: 0
step 49, layer 2, module attn: 0
step 49, layer 2, module mlp: 0
step 49, layer 3, module attn: 0
step 49, layer 3, module mlp: 0
step 49, layer 4, module attn: 0
step 49, layer 4, module mlp: 0
step 49, layer 5, module attn: 0
step 49, layer 5, module mlp: 0
step 49, layer 6, module attn: 0
step 49, layer 6, module mlp: 0
step 49, layer 7, module attn: 0
step 49, layer 7, module mlp: 0
step 49, layer 8, module attn: 0
step 49, layer 8, module mlp: 0
step 49, layer 9, module attn: 0
step 49, layer 9, module mlp: 0
step 49, layer 10, module attn: 0
step 49, layer 10, module mlp: 0
step 49, layer 11, module attn: 0
step 49, layer 11, module mlp: 0
step 49, layer 12, module attn: 0
step 49, layer 12, module mlp: 0
step 49, layer 13, module attn: 0
step 49, layer 13, module mlp: 0
step 49, layer 14, module attn: 0
step 49, layer 14, module mlp: 0
step 49, layer 15, module attn: 0
step 49, layer 15, module mlp: 0
step 49, layer 16, module attn: 0
step 49, layer 16, module mlp: 0
step 49, layer 17, module attn: 0
step 49, layer 17, module mlp: 0
step 49, layer 18, module attn: 0
step 49, layer 18, module mlp: 0
step 49, layer 19, module attn: 0
step 49, layer 19, module mlp: 0
step 49, layer 20, module attn: 0
step 49, layer 20, module mlp: 0
step 49, layer 21, module attn: 0
step 49, layer 21, module mlp: 0
step 49, layer 22, module attn: 0
step 49, layer 22, module mlp: 0
step 49, layer 23, module attn: 0
step 49, layer 23, module mlp: 0
step 49, layer 24, module attn: 0
step 49, layer 24, module mlp: 0
step 49, layer 25, module attn: 0
step 49, layer 25, module mlp: 0
step 49, layer 26, module attn: 0
step 49, layer 26, module mlp: 0
step 49, layer 27, module attn: 0
step 49, layer 27, module mlp: 0
step 48, layer 0, module attn: -1
step 48, layer 0, module mlp: -1
step 48, layer 1, module attn: 0
step 48, layer 1, module mlp: 0
step 48, layer 2, module attn: 0
step 48, layer 2, module mlp: 0
